,date,time,user,message,Sentiment,Score,hour,month,year
0,2022-01-19,13:00,N B,"You want a long distance silent disco with ur baby, join Spotify and create a group and invite ur baby. Thanks me later",Positive,0.7964,13,1,2022
1,2022-01-19,13:00,N B,Danny is ur power disturbing sir ?,Negative,-0.5106,13,1,2022
2,2022-01-19,13:01,O A,Hehehe,Neutral,0.0,13,1,2022
3,2022-01-19,13:01,O A,Bambi,Neutral,0.0,13,1,2022
4,2022-01-19,13:02,N B,Man ffe ka power level Kali on de low,Negative,-0.2732,13,1,2022
5,2022-01-19,13:02,O A,Just get a generator,Neutral,0.0,13,1,2022
6,2022-01-19,13:02,O A,<Media omitted>,Neutral,0.0,13,1,2022
7,2022-01-19,13:18,N B,<Media omitted>,Neutral,0.0,13,1,2022
8,2022-01-19,14:46,Sa Ga,Man I'm working from kulambiro,Neutral,0.0,14,1,2022
9,2022-01-19,14:50,N B,Oba Ebbs,Neutral,0.0,14,1,2022
10,2022-01-19,14:51,Sa Ga,<Media omitted>,Neutral,0.0,14,1,2022
11,2022-01-19,14:51,N B,<Media omitted>,Neutral,0.0,14,1,2022
12,2022-01-19,15:01,O A,Hahahaha,Neutral,0.0,15,1,2022
13,2022-01-19,15:01,O A,<Media omitted>,Neutral,0.0,15,1,2022
14,2022-01-19,15:01,O A,Walusaga is in kulambiro,Neutral,0.0,15,1,2022
15,2022-01-19,15:01,O A,<Media omitted>,Neutral,0.0,15,1,2022
16,2022-01-19,15:01,E I P,Naye mwe,Neutral,0.0,15,1,2022
17,2022-01-19,15:02,O A,<Media omitted>,Neutral,0.0,15,1,2022
18,2022-01-19,15:08,Sa Ga,Olimusiru?,Neutral,0.0,15,1,2022
19,2022-01-19,15:09,O A,<Media omitted>,Neutral,0.0,15,1,2022
20,2022-01-19,15:11,E I P,<Media omitted>,Neutral,0.0,15,1,2022
21,2022-01-19,15:11,O A,<Media omitted>,Neutral,0.0,15,1,2022
22,2022-01-19,15:11,O A,Stop that smoking thing,Negative,-0.296,15,1,2022
23,2022-01-19,15:12,E I P,<Media omitted>,Neutral,0.0,15,1,2022
24,2022-01-19,15:13,O A,<Media omitted>,Neutral,0.0,15,1,2022
25,2022-01-19,15:13,E I P,Wama pato oliwa,Neutral,0.0,15,1,2022
26,2022-01-19,15:15,O A,Oyo agenze viena,Neutral,0.0,15,1,2022
27,2022-01-19,15:16,E I P,Okay,Positive,0.2263,15,1,2022
28,2022-01-19,15:16,E I P,Let me wait for my brown Patrick,Neutral,0.0,15,1,2022
29,2022-01-19,15:16,E I P,<Media omitted>,Neutral,0.0,15,1,2022
30,2022-01-19,15:16,E I P,Brother *,Neutral,0.0,15,1,2022
31,2022-01-19,15:21,O A,<Media omitted>,Neutral,0.0,15,1,2022
